,# src,RA(deg),err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
0,0,9.32158367997,0.0034897906662,-27.1077948513,0.0065141737767,0.288094130066,0.0340835310849
1,1,42.6803275991,0.0023829102221,-22.9857635195,0.0029013286105,0.694101591492,0.0463461515708
2,2,18.7901901396,0.0030938124321,-30.1950124715,0.006641888588,0.219103808404,0.0218065656103
3,3,24.9428551996,0.0018975677093,-20.6923871408,0.0024106373404,0.35016939464,0.0200452146901
4,4,40.5715571386,0.003236557002,-33.2288965667,0.0082474862483,0.341918906001,0.0536312097664
5,5,30.3819406621,0.0026105462527,-17.8522215384,0.003816955414,0.26223007054,0.0224834854124
6,6,32.2533292129,0.0010133779431,-33.0708030674,0.0013507178471,0.833998861548,0.0286782312807
7,7,29.4749533047,0.0062542527138,-9.79295728884,0.0083238514514,0.27129822907,0.0450921173584
8,8,15.7282318404,0.0001446145501,-21.8375297736,0.000207210178,6.06335296885,0.0235521470427
9,9,32.6686109684,0.0011886729374,-34.4352729028,0.0018056978494,0.751924285978,0.0342047608757
10,10,19.7837264948,0.0036169765809,-14.6389696455,0.0041601490401,0.409678218555,0.0289649622927
11,11,31.3119929952,0.0002179887078,-17.998358971,0.00024425318,3.83031217098,0.020826743234
12,12,25.6439807797,0.0044577424059,-11.1715414925,0.005050448737,0.346867982239,0.036252509477
13,13,25.4235272206,0.0105433265478,-27.2123387607,0.0128653236794,0.128801950901,0.0188395683098
14,14,25.8147405607,0.0037099219727,-26.9468002781,0.0082133678796,0.128298083318,0.019139416712
15,15,33.3442065927,0.0035201927585,-20.3711656841,0.0055698154468,0.241516566176,0.0244932189944
16,16,39.5387588929,0.0036481671452,-14.9535602899,0.0046810334318,0.558484149924,0.0451043072863
17,17,13.2649702341,0.004740891969,-21.5974846565,0.0078083378294,0.185890315577,0.0254848646031
18,18,37.0354039789,0.0004917946102,-29.1187580919,0.0005831514739,1.95480660751,0.0263180794774
19,19,19.9254644131,0.0037767961121,-18.5062453654,0.0057723885994,0.196453114517,0.0243624831548
20,20,18.8912230535,0.0015069592058,-28.1310223965,0.0028761504316,0.324650158031,0.0201625525469
21,21,37.0523641139,0.0024862309238,-24.5447950422,0.002434593762,0.419519234577,0.0237350440589
22,22,28.7882199885,0.0020368276325,-18.7431123459,0.0026247215563,0.309933436365,0.0196727538215
23,23,25.6536308491,0.0007803507607,-30.713112134,0.001112342253,0.815453854022,0.0227961502831
24,24,43.6258418889,0.0032678155999,-28.6265419601,0.0042542180668,0.577250918182,0.0612345479466
25,25,31.118068291,0.0013317905926,-34.9790938523,0.002253500526,0.61577859385,0.028704392301
26,26,40.51932457,0.0008328625776,-27.8796165669,0.0010184824109,1.52678943103,0.0370170952654
27,27,27.7172861504,0.0034212856711,-27.7233287555,0.003621867631,0.195714081985,0.0157148657651
28,28,37.3247502673,0.0073835810127,-14.0441433976,0.0095297699421,0.276472831342,0.0401605674564
29,29,33.170854711,0.0018623800433,-25.5980573293,0.0028547411836,0.319700187696,0.0209158260503
30,30,29.1088192568,0.0010289861891,-25.682604024,0.0014334556654,0.425523369681,0.0173348811936
31,31,19.6202539331,0.0074480315667,-26.2828083926,0.0091947248019,0.127704473872,0.0198089501928
32,32,14.6002214223,0.0104950634599,-17.1080158308,0.0108576925713,0.194061626911,0.0370091813221
33,33,28.5652702565,0.0071938902608,-28.7526064213,0.0080592324217,0.116813496816,0.0209301228181
34,34,32.4385698339,0.0109953164188,-11.9207535896,0.0102791586127,0.231779967932,0.0459577046028
35,35,29.5428840871,0.0014802860014,-26.6338963696,0.0019542303979,0.379016326555,0.0178072325852
36,36,23.7500144966,0.0086387069,-16.2368672056,0.0077615416725,0.128738371722,0.0225467028396
37,37,25.0014893374,0.0015550152981,-29.2908569298,0.0025471494949,0.320744720093,0.0158620459478
38,38,31.0670995711,0.0054590575908,-9.88084603904,0.0070311383697,0.342654994585,0.0496595507357
39,39,21.6167819748,0.0052613985092,-24.2217671068,0.0084096813586,0.163376747893,0.02037938665
40,40,33.58664838,0.0088820748504,-17.7766443558,0.0129076189979,0.174776461687,0.0247506010697
41,41,40.2491353403,0.0043898443597,-25.7924760347,0.0072005988207,0.192672126682,0.0359813457194
42,42,25.086594405,0.0053715889691,-36.0391578382,0.006374800041,0.270477097136,0.0322969917636
43,43,26.8921507754,0.0042912042887,-29.1534302269,0.0055103031629,0.157908569088,0.0184510895761
44,44,13.7211364848,0.0018144654287,-25.175805615,0.0033105055943,0.383323166244,0.0255187702435
45,45,36.9813169856,0.0048653637332,-9.16316792513,0.0058193395176,0.739275554786,0.0901528046114
46,46,25.7883101515,0.0038257011839,-17.1014260705,0.0052622286525,0.172870831615,0.0226171697821
47,47,19.0662269738,0.0014996335623,-28.4588623433,0.0024638642311,0.396938659838,0.0220267419237
48,48,34.1721187797,0.0107861536989,-13.4912201026,0.0092687559685,0.132600875178,0.0456301847086
49,49,19.420178714,0.0026628782728,-16.857039687,0.0041987022019,0.320927036684,0.0260403127524
50,50,8.72723527485,0.0030125146329,-23.1019659519,0.004931537029,0.348218133847,0.0392751528826
51,51,20.9133797088,0.002869293836,-12.7164869912,0.0042047037075,0.399467402955,0.0314382724847
52,52,36.0801981371,0.0027167573852,-16.4193494146,0.0044087287441,0.312257780182,0.0304485299665
53,53,37.4507204896,0.0082428925765,-29.9654926425,0.0070924020197,0.139999674539,0.0288832547613
